"filename", "language", "TypeScript", "Markdown", "JavaScript", "JSON with Comments", "HTML", "JSON", "TypeScript JSX", "comment", "blank", "total"
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/DocumentRegistry.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 0, 3
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/DocumentRegistry.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 3, 19, 191
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/common.d.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 1, 0, 51
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/common.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 1, 0, 3
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/common.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 4, 18, 132
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/factories/DocumentRegistry__factory.d.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 1, 0, 93
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/factories/DocumentRegistry__factory.js", "JavaScript", 0, 0, 127, 0, 0, 0, 0, 4, 0, 131
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/factories/DocumentRegistry__factory.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 3, 8, 159
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/factories/index.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/factories/index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 4, 0, 9
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/factories/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 3, 1, 5
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/hardhat.d.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 4, 8, 64
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/index.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/index.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 1, 0, 40
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/backend/typechain-types/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3, 1, 7
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/eslint.config.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 3666, 0, 0, 1, 3667
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/GlobalStyles.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/components/documentHandler/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 9, 20, 135
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/components/documentHandler/style.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 3, 17, 115
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/components/header/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/components/header/style.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/pages/home/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 3, 34
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/pages/home/style.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/pages/upload-doc/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 1, 8, 41
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/pages/upload-doc/style.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 12, 69
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/pages/verify-doc/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 1, 10, 51
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/pages/verify-doc/style.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 12, 69
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/src/types/api.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 3, 4, 25
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 2, 3, 29
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 2, 3, 27
"/home/akasat/Documentos/USP/2025/blockchain/cartorio-blockchain/frontend/vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1270, 57, 572, 37, 13, 12530, 243, 177, 251, 15150
